Day,Entry Time,Exit Time,Meal Type,Number of People,Time Spent (minutes),Bill Amount ($),Gender,Table Location,Reservation,Customer Satisfaction,Live Music,Age Group,Weather Condition
Sunday,11:05,13:04,Dinner,1,179,119.85,Other,Center,FALSE,2,TRUE,18-25,Sunny
Sunday,20:15,22:18,Lunch,5,123,115,Male,Patio,TRUE,2,TRUE,18-25,Cloudy
Wednesday,20:55,22:52,Lunch,3,177,150.71,Other,Patio,TRUE,1,FALSE,56-65,Rainy
Thursday,08:42,09:09,Lunch,6,87,109.05,Male,Window,FALSE,5,FALSE,65+,Sunny
Friday,21:11,22:22,Lunch,1,71,57.95,Male,Center,TRUE,2,FALSE,56-65,Snowy
Tuesday,16:39,17:58,Breakfast,1,79,82.66,Female,Window,TRUE,5,FALSE,26-35,Snowy
Saturday,14:23,16:47,Dinner,5,144,133.05,Female,Window,FALSE,2,TRUE,18-25,Rainy
Tuesday,19:36,19:16,Dinner,4,40,75.96,Male,Center,FALSE,4,TRUE,46-55,Rainy
Wednesday,21:22,22:10,Lunch,1,108,67.9,Other,Window,FALSE,3,FALSE,65+,Cloudy
Thursday,10:17,12:23,Breakfast,6,126,143.35,Female,Center,FALSE,4,TRUE,26-35,Snowy
Tuesday,11:26,12:31,Breakfast,5,65,64.18,Male,Window,TRUE,2,FALSE,36-45,Sunny
Thursday,17:04,19:58,Breakfast,2,174,141,Other,Window,TRUE,3,FALSE,65+,Rainy
Friday,17:41,19:03,Dinner,4,142,122.94,Female,Center,TRUE,5,FALSE,26-35,Snowy
Saturday,09:54,09:45,Dinner,1,51,47.02,Male,Patio,FALSE,5,FALSE,46-55,Rainy
Wednesday,19:09,20:39,Breakfast,2,90,98,Male,Window,TRUE,2,TRUE,36-45,Snowy
Wednesday,22:43,24:57:00,Breakfast,3,134,106.06,Female,Center,TRUE,2,FALSE,26-35,Snowy
Friday,10:29,12:55,Dinner,4,146,109.79,Female,Window,FALSE,4,FALSE,36-45,Cloudy
Wednesday,22:50,23:35,Lunch,2,105,88.85,Female,Window,FALSE,1,FALSE,36-45,Rainy
Friday,19:45,19:28,Dinner,3,43,93.4,Other,Window,FALSE,4,TRUE,18-25,Snowy
Saturday,14:33,15:35,Breakfast,2,62,86.09,Other,Center,FALSE,2,TRUE,18-25,Sunny
Monday,08:29,09:06,Dinner,4,97,86,Male,Center,FALSE,3,TRUE,65+,Sunny
Thursday,15:53,16:33,Lunch,1,100,113.58,Male,Patio,FALSE,5,FALSE,65+,Rainy
Friday,21:48,22:33,Dinner,4,105,88.12,Female,Center,FALSE,1,TRUE,26-35,Snowy
Thursday,19:23,20:57,Lunch,4,94,125.88,Male,Center,TRUE,4,FALSE,56-65,Cloudy
Thursday,10:13,12:58,Lunch,3,165,131.6,Female,Patio,FALSE,4,TRUE,46-55,Sunny
Thursday,08:32,09:10,Dinner,3,98,94.82,Male,Center,TRUE,1,FALSE,56-65,Cloudy
Thursday,17:43,19:42,Lunch,3,179,157.27,Female,Center,FALSE,5,TRUE,36-45,Snowy
Sunday,14:14,14:49,Breakfast,5,35,71.13,Other,Patio,TRUE,5,TRUE,56-65,Sunny
Monday,21:13,21:52,Lunch,1,39,75.33,Female,Patio,FALSE,5,TRUE,56-65,Rainy
Monday,19:57,20:38,Dinner,1,101,71.05,Male,Window,FALSE,1,TRUE,46-55,Sunny
Tuesday,21:35,22:20,Breakfast,1,105,90.79,Other,Center,FALSE,3,FALSE,18-25,Cloudy
Sunday,18:02,18:43,Lunch,1,41,52.8,Female,Center,TRUE,4,FALSE,26-35,Rainy
Saturday,17:09,19:51,Lunch,4,162,128.63,Other,Window,FALSE,4,FALSE,46-55,Rainy
Tuesday,20:25,22:15,Breakfast,2,170,118.19,Female,Patio,FALSE,5,FALSE,26-35,Cloudy
Sunday,09:59,11:06,Breakfast,6,127,117.85,Male,Patio,TRUE,2,FALSE,56-65,Sunny
Thursday,21:43,23:28,Breakfast,2,165,147.66,Male,Patio,TRUE,5,FALSE,26-35,Rainy
Tuesday,13:09,15:27,Breakfast,1,138,123.01,Male,Patio,TRUE,3,FALSE,46-55,Snowy
Wednesday,16:52,18:17,Breakfast,3,145,141.13,Male,Center,TRUE,1,TRUE,56-65,Snowy
Sunday,13:17,13:50,Dinner,1,33,75.85,Other,Patio,FALSE,1,TRUE,46-55,Sunny
Sunday,22:23,24:58:00,Dinner,5,155,110.04,Other,Center,FALSE,1,TRUE,65+,Rainy
Saturday,08:29,09:33,Dinner,1,64,112.12,Other,Window,FALSE,4,TRUE,65+,Cloudy
Sunday,09:50,10:14,Breakfast,1,84,105.54,Female,Window,TRUE,5,FALSE,46-55,Cloudy
Wednesday,20:50,22:00,Breakfast,4,130,125.88,Female,Window,TRUE,3,FALSE,46-55,Snowy
Monday,12:33,14:20,Breakfast,4,167,143.95,Other,Center,TRUE,3,TRUE,65+,Sunny
Wednesday,18:45,18:20,Lunch,4,35,74.41,Other,Window,TRUE,5,FALSE,56-65,Snowy
Wednesday,16:38,17:12,Breakfast,1,94,101.1,Other,Window,TRUE,5,TRUE,65+,Snowy
Thursday,14:37,16:09,Dinner,1,152,114.5,Other,Center,FALSE,3,TRUE,36-45,Rainy
Saturday,20:45,22:44,Breakfast,3,179,142.55,Other,Center,TRUE,3,TRUE,46-55,Cloudy
Tuesday,10:31,11:51,Breakfast,5,80,116.15,Female,Window,FALSE,5,TRUE,65+,Sunny
Saturday,10:41,12:10,Lunch,3,149,104.09,Other,Window,TRUE,2,FALSE,56-65,Snowy
Wednesday,22:11,22:03,Lunch,6,52,81.3,Female,Patio,FALSE,3,TRUE,56-65,Cloudy
Thursday,17:39,19:54,Lunch,6,135,111.39,Other,Patio,TRUE,2,FALSE,18-25,Cloudy
Tuesday,15:21,17:18,Lunch,1,177,118.07,Male,Center,FALSE,2,FALSE,56-65,Rainy
Thursday,16:15,18:00,Dinner,3,165,157.06,Female,Center,TRUE,4,FALSE,56-65,Snowy
Sunday,08:21,08:02,Lunch,5,41,48.87,Other,Window,FALSE,4,FALSE,65+,Sunny
Wednesday,08:06,09:32,Breakfast,6,86,96.17,Other,Window,TRUE,4,TRUE,56-65,Sunny
Tuesday,17:18,17:17,Breakfast,3,59,88.43,Other,Patio,TRUE,5,TRUE,26-35,Snowy
Sunday,17:11,18:55,Lunch,3,104,124.96,Other,Window,TRUE,5,FALSE,46-55,Sunny
Thursday,18:06,18:36,Lunch,3,30,74.6,Female,Patio,TRUE,2,TRUE,65+,Rainy
Sunday,14:14,14:55,Lunch,3,41,56.76,Other,Patio,TRUE,2,FALSE,18-25,Rainy
Wednesday,12:48,12:36,Breakfast,1,48,84.67,Male,Window,FALSE,5,FALSE,18-25,Cloudy
Tuesday,13:09,13:49,Lunch,6,40,75.41,Other,Window,TRUE,4,FALSE,18-25,Rainy
Monday,17:12,18:31,Dinner,6,79,115.47,Female,Window,FALSE,5,TRUE,18-25,Sunny
Friday,08:09,09:32,Lunch,4,83,75,Female,Window,TRUE,4,FALSE,56-65,Cloudy
Friday,15:52,16:42,Breakfast,1,110,89.75,Male,Patio,FALSE,5,TRUE,36-45,Cloudy
Thursday,17:42,18:07,Lunch,6,85,85.03,Female,Patio,FALSE,1,TRUE,46-55,Rainy
Thursday,15:40,17:20,Lunch,2,160,138.66,Other,Window,TRUE,4,FALSE,65+,Cloudy
Wednesday,19:25,21:05,Lunch,6,160,110.82,Female,Window,FALSE,3,FALSE,65+,Sunny
Sunday,22:19,22:54,Dinner,4,35,56.09,Male,Center,TRUE,3,FALSE,26-35,Rainy
Saturday,12:04,14:55,Lunch,1,171,144.92,Male,Patio,FALSE,3,TRUE,56-65,Rainy
Monday,09:51,10:10,Breakfast,3,79,95.56,Male,Window,FALSE,4,FALSE,26-35,Cloudy
Wednesday,08:20,10:02,Lunch,5,162,146.79,Female,Patio,FALSE,5,TRUE,36-45,Snowy
Wednesday,10:27,10:21,Lunch,5,54,79.71,Female,Patio,TRUE,4,FALSE,65+,Sunny
Saturday,11:16,12:32,Dinner,5,76,81.14,Male,Window,TRUE,1,FALSE,26-35,Sunny
Thursday,22:34,24:03:00,Dinner,6,149,159.88,Other,Center,TRUE,5,FALSE,56-65,Rainy
Thursday,16:27,18:10,Breakfast,4,163,143.16,Female,Center,FALSE,1,TRUE,36-45,Snowy
Monday,22:52,23:30,Lunch,3,98,90.75,Male,Window,TRUE,2,FALSE,56-65,Cloudy
Saturday,21:26,22:48,Breakfast,1,82,70.06,Male,Window,TRUE,4,FALSE,26-35,Sunny
Tuesday,12:04,12:02,Breakfast,2,58,53.95,Male,Patio,FALSE,3,TRUE,36-45,Sunny
Thursday,13:34,14:10,Dinner,6,96,93.41,Male,Center,FALSE,5,TRUE,65+,Sunny
Tuesday,18:42,19:27,Breakfast,4,105,117.8,Male,Center,TRUE,1,TRUE,56-65,Sunny
Saturday,18:53,19:00,Lunch,2,67,84.59,Female,Window,TRUE,3,FALSE,18-25,Sunny
Tuesday,21:23,22:36,Breakfast,3,73,106.85,Female,Center,TRUE,4,FALSE,26-35,Rainy
Thursday,10:48,10:37,Dinner,5,49,67.21,Male,Window,FALSE,5,TRUE,18-25,Sunny
Sunday,13:09,15:45,Breakfast,3,156,106.56,Other,Window,FALSE,3,FALSE,56-65,Sunny
Friday,08:39,10:45,Lunch,4,126,90.16,Other,Center,TRUE,1,FALSE,56-65,Sunny
Friday,08:47,10:02,Lunch,3,135,142.44,Female,Center,FALSE,4,TRUE,36-45,Rainy
Monday,20:49,21:34,Breakfast,5,105,127.83,Male,Center,TRUE,5,FALSE,26-35,Sunny
Monday,19:57,21:30,Lunch,5,153,172.76,Other,Patio,FALSE,5,TRUE,65+,Sunny
Sunday,17:31,17:21,Lunch,6,50,73.06,Male,Patio,FALSE,1,FALSE,18-25,Rainy
Thursday,15:13,15:52,Lunch,4,39,53.94,Other,Center,FALSE,4,FALSE,36-45,Sunny
Saturday,17:12,18:28,Dinner,6,76,87.33,Other,Patio,FALSE,3,TRUE,36-45,Cloudy
Tuesday,09:30,11:49,Breakfast,1,139,140.73,Female,Center,TRUE,5,FALSE,26-35,Cloudy
Saturday,09:23,11:50,Dinner,6,147,107.13,Other,Center,FALSE,3,FALSE,26-35,Cloudy
Sunday,14:30,15:01,Breakfast,2,91,122.53,Other,Window,TRUE,5,FALSE,26-35,Rainy
Thursday,18:35,20:39,Lunch,6,124,127.32,Male,Window,TRUE,4,FALSE,46-55,Sunny
Sunday,12:17,14:04,Dinner,2,167,123.88,Male,Patio,TRUE,1,FALSE,18-25,Rainy
Thursday,14:33,16:05,Dinner,2,152,120.99,Female,Window,FALSE,3,FALSE,46-55,Cloudy
Wednesday,12:46,13:43,Dinner,3,117,124.99,Other,Patio,FALSE,5,FALSE,26-35,Snowy
Tuesday,09:34,11:22,Breakfast,5,168,109.3,Male,Window,FALSE,1,TRUE,65+,Snowy
Wednesday,14:20,15:06,Dinner,1,106,84.51,Male,Center,FALSE,2,FALSE,56-65,Cloudy
Monday,10:21,12:40,Lunch,5,139,116.6,Other,Patio,TRUE,5,FALSE,56-65,Cloudy
Sunday,09:31,11:00,Dinner,5,149,99.62,Female,Center,TRUE,3,FALSE,56-65,Cloudy
Tuesday,21:49,23:51,Dinner,5,122,95.82,Male,Window,TRUE,2,FALSE,26-35,Rainy
Wednesday,12:58,14:39,Lunch,5,161,96.75,Female,Patio,FALSE,1,FALSE,26-35,Rainy
Monday,14:56,15:33,Dinner,6,97,121.9,Female,Patio,TRUE,2,TRUE,65+,Rainy
Saturday,15:05,17:15,Lunch,6,130,133.6,Other,Patio,TRUE,1,TRUE,65+,Cloudy
Tuesday,21:05,23:03,Dinner,6,178,133.79,Male,Window,FALSE,3,FALSE,56-65,Snowy
Sunday,15:31,16:09,Lunch,6,98,80.41,Female,Center,FALSE,5,FALSE,56-65,Cloudy
Friday,17:12,18:29,Dinner,6,77,93.55,Female,Window,FALSE,4,FALSE,65+,Rainy
Sunday,22:30,22:06,Breakfast,3,36,39.14,Male,Center,FALSE,5,FALSE,56-65,Sunny
Monday,10:52,12:08,Breakfast,1,136,127.55,Male,Window,TRUE,2,TRUE,56-65,Cloudy
Tuesday,21:56,23:40,Breakfast,4,164,133.78,Other,Patio,FALSE,5,FALSE,36-45,Sunny
Friday,18:55,19:26,Breakfast,4,91,123.15,Male,Window,TRUE,5,FALSE,26-35,Snowy
Wednesday,21:20,23:04,Lunch,4,164,184.75,Female,Center,TRUE,4,TRUE,18-25,Cloudy
Monday,08:01,08:49,Breakfast,4,48,91.61,Male,Patio,FALSE,5,TRUE,56-65,Sunny
Monday,16:30,17:44,Lunch,6,74,56.61,Female,Center,FALSE,3,TRUE,56-65,Rainy
Monday,19:16,20:06,Breakfast,1,110,128.21,Male,Window,TRUE,5,FALSE,18-25,Snowy
Friday,21:22,22:48,Dinner,4,86,62.56,Male,Center,FALSE,3,TRUE,46-55,Rainy
Friday,10:16,12:55,Breakfast,4,159,162.17,Female,Center,FALSE,4,TRUE,36-45,Snowy
Thursday,21:58,22:51,Lunch,1,113,67.29,Other,Patio,FALSE,2,FALSE,36-45,Sunny
Monday,11:41,12:56,Dinner,6,75,92.62,Female,Patio,FALSE,4,FALSE,46-55,Snowy
Thursday,13:02,15:57,Breakfast,5,175,149.7,Female,Window,FALSE,5,FALSE,46-55,Sunny
Wednesday,08:59,10:47,Dinner,5,168,113.1,Male,Center,TRUE,3,FALSE,46-55,Sunny
Saturday,10:29,11:02,Lunch,6,93,60.04,Other,Patio,FALSE,1,FALSE,26-35,Sunny
Monday,18:09,20:36,Breakfast,6,147,136.94,Male,Window,TRUE,5,TRUE,18-25,Sunny
Monday,16:36,18:11,Breakfast,4,155,152.34,Other,Window,TRUE,4,FALSE,65+,Snowy
Saturday,11:18,14:18,Breakfast,1,180,187.79,Male,Window,FALSE,5,TRUE,65+,Cloudy
Thursday,13:09,15:49,Breakfast,5,160,158.92,Male,Center,TRUE,5,TRUE,36-45,Snowy
Saturday,18:27,19:54,Dinner,3,87,100.8,Female,Center,TRUE,3,FALSE,36-45,Cloudy
Wednesday,14:54,14:49,Dinner,2,55,80.95,Male,Center,TRUE,1,FALSE,26-35,Rainy
Tuesday,12:57,12:48,Lunch,2,51,57.18,Female,Window,TRUE,5,TRUE,65+,Cloudy
Sunday,08:01,10:41,Dinner,2,160,139.97,Other,Patio,TRUE,4,FALSE,65+,Sunny
Saturday,11:29,13:18,Breakfast,6,169,169.61,Female,Patio,TRUE,5,TRUE,26-35,Snowy
Friday,09:12,11:39,Lunch,1,147,172.93,Female,Window,TRUE,5,TRUE,46-55,Sunny
Friday,12:04,13:19,Breakfast,5,75,60.79,Female,Center,TRUE,1,FALSE,56-65,Rainy
Tuesday,12:37,13:38,Lunch,2,61,81.46,Other,Window,TRUE,1,TRUE,26-35,Sunny
Tuesday,17:01,19:20,Lunch,4,139,155.59,Male,Window,TRUE,5,FALSE,65+,Snowy
Saturday,09:59,11:52,Breakfast,6,173,131.1,Male,Window,FALSE,2,FALSE,46-55,Snowy
Sunday,17:58,18:50,Breakfast,3,112,103.06,Male,Patio,TRUE,3,TRUE,46-55,Sunny
Monday,11:42,12:44,Lunch,2,62,62.85,Female,Center,TRUE,5,TRUE,46-55,Snowy
Thursday,17:51,17:30,Dinner,5,39,40.87,Male,Window,TRUE,4,FALSE,65+,Snowy
Wednesday,15:16,17:57,Breakfast,2,161,159.93,Female,Window,TRUE,2,TRUE,46-55,Cloudy
Tuesday,17:08,19:35,Dinner,3,147,125.77,Other,Window,FALSE,4,TRUE,26-35,Cloudy
Friday,08:32,09:12,Breakfast,4,100,83.63,Male,Center,FALSE,1,FALSE,56-65,Cloudy
Saturday,15:54,17:00,Breakfast,3,126,113.34,Male,Patio,FALSE,2,TRUE,26-35,Sunny
Tuesday,12:29,13:33,Dinner,6,64,48.78,Other,Patio,FALSE,3,FALSE,46-55,Cloudy
Sunday,16:16,17:23,Dinner,3,67,107.3,Male,Patio,TRUE,5,FALSE,46-55,Rainy
Sunday,17:22,18:28,Dinner,5,66,81.83,Other,Center,TRUE,1,TRUE,26-35,Rainy
Monday,22:55,22:34,Breakfast,1,39,45.58,Male,Center,FALSE,1,TRUE,65+,Sunny
Monday,13:27,14:35,Breakfast,2,68,70.97,Other,Window,TRUE,3,FALSE,46-55,Cloudy
Thursday,09:14,10:34,Lunch,4,80,68.66,Other,Center,TRUE,5,FALSE,65+,Cloudy
Wednesday,19:13,19:59,Dinner,5,46,39.55,Male,Window,TRUE,2,FALSE,18-25,Cloudy
Saturday,22:55,24:27:00,Lunch,6,152,130.57,Other,Patio,TRUE,3,TRUE,65+,Snowy
Saturday,16:22,18:09,Lunch,2,167,116.31,Male,Patio,FALSE,1,FALSE,26-35,Sunny
Wednesday,20:53,21:05,Breakfast,2,72,86.08,Male,Patio,FALSE,3,TRUE,36-45,Rainy
Sunday,15:32,15:06,Dinner,5,34,61.77,Other,Center,FALSE,5,TRUE,36-45,Snowy
Tuesday,16:59,18:50,Dinner,3,171,161.02,Male,Center,TRUE,2,TRUE,65+,Rainy
Friday,18:44,18:43,Dinner,3,59,79.27,Female,Center,FALSE,1,FALSE,26-35,Rainy
Tuesday,21:29,23:25,Lunch,3,176,150.82,Male,Center,TRUE,2,TRUE,36-45,Cloudy
Sunday,11:43,13:27,Lunch,1,164,127.61,Male,Center,TRUE,2,FALSE,26-35,Rainy
Thursday,14:23,15:44,Dinner,4,81,95.68,Male,Patio,FALSE,2,TRUE,36-45,Cloudy
Wednesday,15:52,15:24,Lunch,1,32,60.9,Other,Patio,TRUE,5,FALSE,18-25,Cloudy
Friday,21:19,21:52,Breakfast,2,33,29.77,Female,Center,TRUE,2,FALSE,65+,Rainy
Wednesday,21:15,23:25,Lunch,6,130,104.13,Male,Window,FALSE,3,TRUE,26-35,Sunny
Friday,09:08,10:01,Breakfast,2,113,118.61,Male,Patio,TRUE,2,TRUE,46-55,Rainy
Thursday,22:38,23:27,Dinner,4,109,91.54,Male,Patio,FALSE,5,TRUE,65+,Cloudy
Monday,08:06,08:41,Breakfast,3,35,41.8,Female,Center,TRUE,1,FALSE,46-55,Cloudy
Thursday,09:02,09:51,Lunch,3,49,73.82,Other,Patio,FALSE,5,FALSE,46-55,Cloudy
Thursday,16:24,16:58,Breakfast,6,34,58.7,Other,Center,TRUE,2,FALSE,26-35,Rainy
Saturday,10:51,11:00,Dinner,6,69,71.83,Other,Window,TRUE,2,FALSE,36-45,Rainy
Saturday,18:36,19:17,Lunch,1,101,89,Male,Center,TRUE,5,FALSE,26-35,Snowy
Tuesday,10:56,11:47,Dinner,6,111,115.41,Other,Center,TRUE,1,TRUE,36-45,Rainy
Wednesday,15:01,17:30,Dinner,3,149,131.84,Male,Window,FALSE,1,TRUE,56-65,Cloudy
Friday,11:22,13:45,Dinner,5,143,126.84,Female,Center,FALSE,3,TRUE,65+,Cloudy
Wednesday,08:30,09:30,Lunch,2,60,78.67,Other,Patio,TRUE,5,TRUE,46-55,Cloudy
Tuesday,17:28,18:19,Breakfast,3,111,107.91,Female,Center,FALSE,4,TRUE,26-35,Snowy
Friday,15:38,17:47,Lunch,6,129,100.58,Other,Center,TRUE,1,FALSE,46-55,Sunny
Monday,21:34,22:29,Dinner,1,115,119.61,Other,Center,FALSE,4,TRUE,36-45,Snowy
Thursday,15:31,15:22,Breakfast,5,51,62.78,Other,Center,TRUE,3,FALSE,36-45,Sunny
Monday,14:31,15:48,Dinner,5,77,93.69,Other,Window,TRUE,1,TRUE,36-45,Snowy
Wednesday,13:01,14:35,Dinner,1,94,97.75,Female,Patio,TRUE,2,FALSE,36-45,Sunny
Sunday,22:58,24:44:00,Breakfast,1,166,130.1,Other,Window,FALSE,3,TRUE,36-45,Sunny
Wednesday,22:50,24:12:00,Dinner,3,142,170.27,Other,Patio,TRUE,5,TRUE,26-35,Snowy
Thursday,12:49,14:14,Lunch,6,145,130.2,Other,Center,TRUE,4,TRUE,65+,Snowy
Thursday,14:20,15:20,Lunch,2,60,61.18,Male,Center,TRUE,4,FALSE,56-65,Rainy
Sunday,14:55,16:57,Breakfast,4,122,113.58,Other,Patio,TRUE,1,FALSE,26-35,Snowy
Wednesday,10:20,12:14,Dinner,3,174,142.88,Other,Window,FALSE,4,TRUE,36-45,Sunny
Thursday,13:25,15:44,Dinner,5,139,107.96,Female,Window,FALSE,3,TRUE,18-25,Rainy
Thursday,16:54,18:04,Dinner,4,130,119.03,Female,Center,TRUE,4,FALSE,36-45,Rainy
Wednesday,16:46,17:35,Lunch,2,109,79.55,Male,Patio,FALSE,2,TRUE,46-55,Rainy
Monday,13:09,13:57,Lunch,2,48,60.93,Male,Window,FALSE,3,FALSE,46-55,Sunny
Saturday,21:45,22:37,Dinner,2,112,75.39,Other,Patio,TRUE,2,FALSE,36-45,Snowy
Thursday,10:36,12:24,Breakfast,2,168,98.75,Female,Patio,FALSE,3,FALSE,46-55,Sunny
Tuesday,10:11,12:39,Breakfast,5,148,133.49,Other,Patio,TRUE,2,TRUE,56-65,Cloudy
Friday,14:19,14:50,Lunch,4,31,59.72,Other,Patio,TRUE,4,TRUE,65+,Rainy
Sunday,20:37,21:26,Breakfast,6,109,122.54,Male,Center,TRUE,4,TRUE,56-65,Snowy
Tuesday,22:10,22:42,Lunch,2,32,69.97,Male,Center,TRUE,4,TRUE,46-55,Snowy
Wednesday,14:54,15:38,Dinner,1,104,78.93,Other,Center,TRUE,2,FALSE,56-65,Snowy
Monday,13:45,14:30,Breakfast,3,105,76.43,Male,Window,TRUE,3,FALSE,36-45,Cloudy
Monday,11:15,12:56,Lunch,2,101,69.47,Male,Window,TRUE,3,FALSE,46-55,Sunny
Friday,11:09,13:37,Breakfast,2,148,117.55,Other,Window,FALSE,3,FALSE,36-45,Snowy
Thursday,17:37,18:41,Lunch,2,64,63.8,Female,Patio,FALSE,1,FALSE,65+,Snowy
Saturday,21:42,21:24,Lunch,2,42,68.35,Other,Patio,FALSE,4,TRUE,46-55,Snowy
Friday,10:09,10:48,Breakfast,5,39,50.32,Male,Patio,TRUE,1,TRUE,46-55,Cloudy
Monday,20:46,21:52,Lunch,2,66,59.99,Female,Window,TRUE,4,FALSE,26-35,Rainy
Sunday,20:55,22:27,Dinner,3,152,124.25,Female,Center,TRUE,1,FALSE,46-55,Snowy
Monday,09:41,09:27,Breakfast,6,46,54.56,Female,Patio,TRUE,5,FALSE,46-55,Snowy
Wednesday,11:29,12:25,Breakfast,2,116,147.63,Male,Window,TRUE,5,TRUE,65+,Cloudy
Tuesday,12:07,12:56,Breakfast,1,49,75.02,Other,Patio,FALSE,1,TRUE,36-45,Snowy
Monday,11:07,13:46,Dinner,5,159,144.28,Female,Center,TRUE,5,TRUE,26-35,Cloudy
Monday,08:44,09:29,Lunch,3,105,110.58,Female,Center,FALSE,1,TRUE,18-25,Rainy
Friday,20:43,21:02,Lunch,4,79,68.6,Male,Center,TRUE,1,FALSE,18-25,Snowy
Tuesday,15:40,17:51,Lunch,3,131,119.01,Female,Patio,FALSE,1,TRUE,56-65,Cloudy
Monday,10:59,11:19,Dinner,3,80,83.67,Male,Window,FALSE,1,FALSE,65+,Cloudy
Monday,16:24,17:38,Dinner,2,74,52.2,Male,Window,TRUE,3,FALSE,56-65,Sunny
Sunday,15:02,16:27,Lunch,2,85,78.86,Male,Patio,FALSE,5,TRUE,36-45,Snowy
Sunday,18:27,19:23,Lunch,4,116,89,Male,Patio,FALSE,4,FALSE,46-55,Cloudy
Wednesday,15:19,17:23,Dinner,6,124,149.55,Male,Patio,FALSE,5,TRUE,18-25,Snowy
Sunday,13:55,14:27,Lunch,4,92,138.81,Male,Patio,TRUE,4,TRUE,26-35,Cloudy
